item_id	title	year	latitude	longitude
51393119	00 00 01 : identité visuelle du centre Pompidou / intégral Ruedi Baur et associés	2001	48.853410	2.348800
52867675	00.00 nō̜. / Rong Wongsawan	2003	13.753980	100.501440
31859833	0008 meets gnatman / Clyde Allison	1966	32.715330	-117.157260
58348088	000 (triple zero) is the number to know / written & illustrated by Ros Hardy	2010	-30.296260	153.113510
32355468	001 o espião que não era de nada. / Il. do autor	1967	-23.547500	-46.636110
55238138	0:01 : parting shots from the world of sports / edited by Steve Wulf ; foreword by Mike Greenberg	2006	40.714270	-74.005970
32381364	003 1/2; the adventures of James Bond junior / by R. D. Mascott. Illustrated by Michael Jackson	1968	40.714270	-74.005970
